date,revenue_cr,price
2023-12-22,11.099507,773.2923
2023-12-26,0.862648,770.1923
2023-12-27,1.032078,755.5924
2023-12-28,1.337174,747.7592
2023-12-29,8.510478,740.3926
2024-01-01,2.138139,734.3427
2024-01-02,1.066519,745.3092
2024-01-03,1.067104,751.1092
2024-01-04,1.540413,759.0257
2024-01-05,6.86238,767.909
2024-01-08,3.127789,758.3591
2024-01-09,1.149526,766.9923
2024-01-10,1.109069,753.1758
2024-01-11,1.601546,751.9258
2024-01-12,11.052129,745.6925
2024-01-15,3.398605,746.1092
2024-01-16,1.08912,769.5756
2024-01-17,1.217574,762.3257
2024-01-18,2.410603,765.8923
2024-01-19,9.829017,758.6091
2024-01-20,4.42319,747.0759
2024-01-23,1.415943,703.743
2024-01-24,2.17244,704.043
2024-01-25,5.60403,707.3096
2024-01-29,4.189402,709.6262
2024-01-30,1.124616,729.2594
2024-01-31,1.101097,774.5256
2024-02-01,2.313644,831.1417
2024-02-02,18.827084,821.6585
2024-02-05,4.768295,853.6748
2024-02-06,1.332992,823.1084
2024-02-07,1.451022,833.925
2024-02-08,2.617102,837.2416
2024-02-09,10.265311,829.8584
2024-02-12,5.550968,787.4088
2024-02-13,0.952188,780.6255
2024-02-14,1.653803,782.3922
2024-02-15,2.171678,774.5923
2024-02-16,8.976315,767.9257
2024-02-19,4.137968,768.209
2024-02-20,1.045832,765.6423
2024-02-21,1.041488,738.7259
2024-02-22,1.979319,733.3927
2024-02-23,10.154044,758.9257
2024-02-26,3.537341,759.6424
2024-02-27,0.970178,798.692
2024-02-28,1.07525,779.0922
2024-02-29,1.684748,788.9421
2024-03-01,13.571374,778.8089
2024-03-02,0.303232,784.1422
2024-03-04,4.089916,773.1756
2024-03-05,1.07173,762.3257
2024-03-06,1.648487,766.3423
2024-03-07,3.974165,747.9425
2024-03-11,4.852268,734.6927
2024-03-12,0.810422,716.1762
2024-03-13,2.770989,670.56
2024-03-14,1.851657,682.8098
2024-03-15,9.575923,694.1264
2024-03-18,5.610742,678.4932
2024-03-19,1.495846,652.2101
2024-03-20,0.951362,677.7099
2024-03-21,1.467494,747.6925
2024-03-22,11.756988,732.5927
2024-03-26,0.927742,770.059
2024-03-27,1.371413,821.1918
2024-03-28,8.536841,838.6249
2024-04-01,3.681569,903.291
2024-04-02,0.727633,918.7741
2024-04-03,1.086237,953.7238
2024-04-04,2.203082,963.3904
2024-04-05,9.056445,958.5237
2024-04-08,3.381425,933.8907
2024-04-09,1.219385,915.2242
2024-04-10,1.060328,954.4905
2024-04-12,12.663421,942.9739
2024-04-15,4.020018,928.0741
2024-04-16,0.81539,945.2405
2024-04-18,2.364933,927.0241
2024-04-19,15.858437,922.8408
2024-04-22,4.675298,950.4238
2024-04-23,0.825259,1066.606
2024-04-24,0.882845,1043.3062
2024-04-25,2.061435,1049.1728
2024-04-26,11.737374,1070.106
2024-04-29,8.375025,923.7408
2024-04-30,1.063793,930.0407
2024-05-02,1.827251,952.9071
2024-05-03,20.828506,950.2405
2024-05-06,7.735909,948.3905
2024-05-07,1.035381,935.8073
2024-05-08,1.113961,939.7906
2024-05-09,2.265504,903.3743
2024-05-10,12.894611,883.3245
2024-05-13,7.731787,865.8747
2024-05-14,0.849697,894.2077
2024-05-15,1.017174,946.9572
2024-05-16,2.54014,939.4406
2024-05-17,12.881908,927.6574
2024-05-18,0.188111,931.4074
2024-05-21,0.944045,908.7576
2024-05-22,1.032537,885.2745
2024-05-23,2.186486,871.308
2024-05-24,11.196326,910.0242
2024-05-27,6.084535,901.1577
2024-05-28,0.933005,900.841
2024-05-29,1.041679,879.0579
2024-05-30,2.614172,851.5915
2024-05-31,17.036067,897.941
2024-06-03,11.770217,902.6243
2024-06-04,2.307835,852.3248
2024-06-05,1.53678,887.5411
2024-06-06,2.591576,900.3743
2024-06-07,23.824101,893.9244
2024-06-10,7.523067,886.8911
2024-06-11,1.312815,890.7911
2024-06-12,1.085907,900.941
2024-06-13,1.97296,912.0575
2024-06-14,10.083995,919.6241
2024-06-18,1.083801,912.7742
2024-06-19,1.567496,903.0743
2024-06-20,2.067272,879.8079
2024-06-21,21.550905,853.3915
2024-06-24,7.808882,832.6417
2024-06-25,1.120419,840.1749
2024-06-26,1.690808,847.0249
2024-06-27,2.965287,851.2582
2024-06-28,17.561016,860.8414
2024-07-01,6.693565,858.0248
2024-07-02,1.051171,829.025
2024-07-03,1.102016,819.2418
2024-07-04,2.125757,819.1085
2024-07-05,13.227631,801.7753
2024-07-08,6.97502,793.4421
2024-07-09,1.075887,778.8589
2024-07-10,1.517328,751.4092
2024-07-11,2.242823,777.5089
2024-07-12,17.169205,787.9255
2024-07-15,8.004072,790.4088
2024-07-16,1.017975,790.4588
2024-07-18,3.156377,766.7923
2024-07-19,14.249987,750.9092
2024-07-22,5.448801,736.1093
2024-07-23,1.627905,742.0926
2024-07-24,1.27209,804.492
2024-07-25,2.102957,822.7584
2024-07-26,17.490374,815.8252
2024-07-29,14.452122,813.4085
2024-07-30,1.370684,804.092
2024-07-31,1.144936,852.1415
2024-08-01,2.272198,881.0745
2024-08-02,14.297655,854.5581
2024-08-05,10.503805,795.8587
2024-08-06,1.313264,772.4423
2024-08-07,1.215152,799.5087
2024-08-08,2.914718,866.5913
2024-08-09,11.862275,883.4912
2024-08-12,8.170065,857.2081
2024-08-13,1.180741,864.008
2024-08-14,1.236303,853.2248
2024-08-16,18.554476,881.9745
2024-08-19,6.661591,892.0577
2024-08-20,1.429578,900.991
2024-08-21,1.216019,896.6244
2024-08-22,1.794929,908.9409
2024-08-23,10.430205,913.8742
2024-08-26,5.710241,909.2076
2024-08-27,1.084497,900.0743
2024-08-28,1.130952,926.8741
2024-08-29,3.432991,937.2406
2024-08-30,13.296679,944.2072
2024-09-02,8.303178,921.6908
2024-09-03,0.932571,910.6409
2024-09-04,1.185242,920.1075
2024-09-05,1.640454,963.5237
2024-09-06,20.40248,941.4073
2024-09-09,11.558013,944.9239
2024-09-10,1.1644,950.2238
2024-09-11,1.462854,960.6237
2024-09-12,3.390551,956.3238
